      4890 <= x < 4920; y =  2672.0000 +    -0.5333x; interpolation
      4920 <= x < 4950; y = -2544.0000 +     0.5333x; interpolation
      4950 <= x < 4980; y =  2704.0000 +    -0.5333x; interpolation
      4980 <= x < 5010; y =  -266.0000 +     0.0667x; interpolation
      5010 <= x < 5040; y = -1926.0000 +     0.4000x; interpolation
      5040 <= x < 5070; y =  2249.0000 +    -0.4333x; interpolation
      5070 <= x < 5100; y = -2455.0000 +     0.5000x; interpolation
      5100 <= x < 5130; y =   925.0000 +    -0.1667x; interpolation
      5130 <= x < 5160; y =  2115.0000 +    -0.4000x; interpolation
      5160 <= x < 5190; y = -2673.0000 +     0.5333x; interpolation
      5190 <= x < 5220; y =  3003.0000 +    -0.5667x; interpolation
      5220 <= x < 5250; y = -3052.0000 +     0.6000x; interpolation
      5250 <= x < 5280; y =  3038.0000 +    -0.5667x; interpolation
      5280 <= x < 5310; y =  -812.0000 +     0.1667x; interpolation
      5310 <= x < 5340; y = -1692.0000 +     0.3333x; interpolation
      5340 <= x < 5370; y =  1671.0000 +    -0.3000x; interpolation
      5370 <= x < 5400; y = -1711.0000 +     0.3333x; interpolation
      5400 <= x < 5430; y =  1869.0000 +    -0.3333x; interpolation
      5430 <= x < 5460; y = -1731.0000 +     0.3333x; interpolation
      5460 <= x < 5490; y =  1346.0000 +    -0.2333x; interpolation
      5490 <= x < 5520; y =  1710.0000 +    -0.3000x; interpolation
      5520 <= x < 5550; y = -3048.0000 +     0.5667x; interpolation
      5550 <= x < 5580; y =  3208.0000 +    -0.5667x; interpolation
      5580 <= x < 5610; y = -3267.0000 +     0.6000x; interpolation
      5610 <= x < 5640; y =  3987.0000 +    -0.7000x; interpolation
      5640 <= x < 5670; y = -3493.0000 +     0.6333x; interpolation
      5670 <= x < 5700; y =    79.0000 +     0.0000x; interpolation
      5700 <= x < 5730; y =  3292.0000 +    -0.5667x; interpolation
      5730 <= x < 5760; y = -3548.0000 +     0.6333x; interpolation
      5760 <= x < 5790; y =  3710.0000 +    -0.6333x; interpolation
      5790 <= x < 5820; y = -3586.0000 +     0.6333x; interpolation
      5820 <= x < 5850; y =  3748.0000 +    -0.6333x; interpolation
      5850 <= x < 5880; y = -3430.0000 +     0.6000x; interpolation
      5880 <= x < 5910; y =  3980.0000 +    -0.6667x; interpolation
      5910 <= x < 5940; y = -4056.0000 +     0.7000x; interpolation
      5940 <= x < 5970; y =  -313.0000 +     0.0667x; interpolation
      5970 <= x < 6000; y =  1271.0000 +    -0.2000x; interpolation
      6000 <= x < 6030; y =  3062.0000 +    -0.5000x; interpolation
      6030 <= x < 6060; y = -3938.0000 +     0.6667x; interpolation
      6060 <= x < 6090; y =  4102.0000 +    -0.6667x; interpolation
      6090 <= x < 6120; y = -3776.0000 +     0.6333x; interpolation
      6120 <= x < 6150; y =   690.0000 +    -0.1000x; interpolation
      6150 <= x < 6180; y =   282.0000 +    -0.0333x; interpolation
      6180 <= x < 6210; y =  -743.0000 +     0.1333x; interpolation
      6210 <= x < 6240; y =  3995.0000 +    -0.6333x; interpolation
      6240 <= x < 6270; y = -3664.0000 +     0.6000x; interpolation
      6270 <= x < 6300; y =  3616.0000 +    -0.5667x; interpolation
      6300 <= x < 6330; y = -3281.0000 +     0.5333x; interpolation
      6330 <= x < 6360; y =  3439.0000 +    -0.5333x; interpolation
      6360 <= x < 6390; y = -3524.0000 +     0.5667x; interpolation
      6390 <= x < 6420; y =  -132.0000 +     0.0333x; interpolation
      6420 <= x < 6450; y =   507.0000 +    -0.0667x; interpolation
      6450 <= x < 6480; y =  -349.0000 +     0.0667x; interpolation
      6480 <= x < 6510; y =  4166.0000 +    -0.6333x; interpolation
      6510 <= x < 6540; y = -3610.0000 +     0.5667x; interpolation
      6540 <= x < 6570; y =  3768.0000 +    -0.5667x; interpolation
      6570 <= x < 6600; y = -3862.0000 +     0.6000x; interpolation
      6600 <= x < 6630; y =  4460.0000 +    -0.6667x; interpolation
      6630 <= x < 6660; y =  -820.0000 +     0.1333x; interpolation
      6660 <= x < 6690; y = -3693.0000 +     0.5667x; interpolation
      6690 <= x < 6720; y =   747.0000 +    -0.1000x; interpolation
      6720 <= x < 6750; y =  3646.0000 +    -0.5333x; interpolation
      6750 <= x < 6780; y =   510.0000 +    -0.0667x; interpolation
      6780 <= x < 6810; y =  7035.0000 +    -1.0333x; interpolation
      6810 <= x < 6840; y =   255.0000 +    -0.0333x; interpolation
      6840 <= x < 6870; y = -10868.0000 +     1.6000x; interpolation
      6870 <= x < 6900; y =  -152.0000 +     0.0333x; interpolation
      6900 <= x < 6930; y =    77.0000 +     0.0000x; interpolation
      6930 <= x < 6960; y =   537.0000 +    -0.0667x; interpolation
      6960 <= x < 6990; y =  -387.0000 +     0.0667x; interpolation
      6990 <= x < 7020; y =   309.0000 +    -0.0333x; interpolation
      7020 <= x < 7050; y =  1474.0000 +    -0.2000x; interpolation
      7050 <= x < 7080; y = -2036.0000 +     0.3000x; interpolation
      7080 <= x < 7110; y =   549.0000 +    -0.0667x; interpolation
      7110 <= x < 7140; y =  3381.0000 +    -0.4667x; interpolation
